Step 0 | Loss: 112.3332 | Grad Norm: 35.61
Step 1 | Loss: 145.3844 | Grad Norm: 68.43
Step 2 | Loss: 97.3849 | Grad Norm: 66.47
Step 3 | Loss: 65.6966 | Grad Norm: 59.19
Step 4 | Loss: 47.4559 | Grad Norm: 58.64
Step 5 | Loss: 32.8214 | Grad Norm: 31.60
Step 6 | Loss: 38.8045 | Grad Norm: 29.06
Step 7 | Loss: 29.9552 | Grad Norm: 23.68
Step 8 | Loss: 29.3940 | Grad Norm: 30.80
Step 9 | Loss: 24.0442 | Grad Norm: 17.54
Step 10 | Loss: 22.7698 | Grad Norm: 13.09
Step 11 | Loss: 15.9317 | Grad Norm: 8.96
Step 12 | Loss: 20.5997 | Grad Norm: 8.77
Step 13 | Loss: 16.1385 | Grad Norm: 7.21
Step 14 | Loss: 24.8644 | Grad Norm: 11.12
Step 15 | Loss: 18.5628 | Grad Norm: 8.55
Step 16 | Loss: 13.9072 | Grad Norm: 8.92
Step 17 | Loss: 14.3768 | Grad Norm: 7.54
Step 18 | Loss: 20.1970 | Grad Norm: 10.56
Step 19 | Loss: 10.9974 | Grad Norm: 5.39
Step 20 | Loss: 21.1414 | Grad Norm: 7.42
Step 21 | Loss: 13.6472 | Grad Norm: 5.11
Step 22 | Loss: 18.3187 | Grad Norm: 9.30
Step 23 | Loss: 16.3723 | Grad Norm: 5.53
Step 24 | Loss: 18.8719 | Grad Norm: 6.85
Step 25 | Loss: 18.4253 | Grad Norm: 5.43
Step 26 | Loss: 13.7020 | Grad Norm: 4.37
Step 27 | Loss: 14.7729 | Grad Norm: 4.37
Step 28 | Loss: 24.6036 | Grad Norm: 7.85
Step 29 | Loss: 12.4857 | Grad Norm: 4.11
Step 30 | Loss: 12.9502 | Grad Norm: 3.63
Step 31 | Loss: 9.8770 | Grad Norm: 3.92
Step 32 | Loss: 10.1635 | Grad Norm: 6.24
Step 33 | Loss: 13.9268 | Grad Norm: 3.76
Step 34 | Loss: 17.2341 | Grad Norm: 5.11
Step 35 | Loss: 9.8172 | Grad Norm: 3.68
Step 36 | Loss: 9.0678 | Grad Norm: 3.14
Step 37 | Loss: 11.6168 | Grad Norm: 3.39
Step 38 | Loss: 9.9322 | Grad Norm: 3.10
Step 39 | Loss: 12.8558 | Grad Norm: 3.35
Step 40 | Loss: 10.0406 | Grad Norm: 3.00
Step 41 | Loss: 9.8148 | Grad Norm: 2.92
Step 42 | Loss: 10.7764 | Grad Norm: 2.65
Step 43 | Loss: 14.6817 | Grad Norm: 3.17
Step 44 | Loss: 10.8980 | Grad Norm: 2.43
Step 45 | Loss: 17.9306 | Grad Norm: 4.57
Step 46 | Loss: 13.5616 | Grad Norm: 2.84
Step 47 | Loss: 11.6113 | Grad Norm: 2.32
Step 48 | Loss: 8.8658 | Grad Norm: 2.49
Step 49 | Loss: 14.7477 | Grad Norm: 2.60
