Step 0 | Loss: 824596.3750 | Grad Norm: 279348.06
Step 1 | Loss: 1209337.7500 | Grad Norm: 701812.31
Step 2 | Loss: 839940.1250 | Grad Norm: 792483.31
Step 3 | Loss: 739743.8750 | Grad Norm: 663460.44
Step 4 | Loss: 396346.9688 | Grad Norm: 417299.50
Step 5 | Loss: 338536.7188 | Grad Norm: 281752.53
Step 6 | Loss: 320493.0625 | Grad Norm: 368524.44
Step 7 | Loss: 379026.0625 | Grad Norm: 279451.50
Step 8 | Loss: 223743.1562 | Grad Norm: 164029.42
Step 9 | Loss: 306083.2188 | Grad Norm: 206263.42
Step 10 | Loss: 213939.0625 | Grad Norm: 141149.45
Step 11 | Loss: 190352.8750 | Grad Norm: 123882.26
Step 12 | Loss: 154924.9531 | Grad Norm: 85525.30
Step 13 | Loss: 205281.7969 | Grad Norm: 100775.61
Step 14 | Loss: 169586.2344 | Grad Norm: 70566.87
Step 15 | Loss: 120462.8828 | Grad Norm: 80828.81
Step 16 | Loss: 162258.0781 | Grad Norm: 63657.64
Step 17 | Loss: 175538.8125 | Grad Norm: 75517.09
Step 18 | Loss: 134548.3281 | Grad Norm: 58849.31
Step 19 | Loss: 272069.6250 | Grad Norm: 97628.30
Step 20 | Loss: 255798.6094 | Grad Norm: 94477.60
Step 21 | Loss: 152430.8750 | Grad Norm: 54016.39
Step 22 | Loss: 116109.6797 | Grad Norm: 49300.91
Step 23 | Loss: 127472.4141 | Grad Norm: 55662.48
Step 24 | Loss: 130891.3672 | Grad Norm: 42363.54
Step 25 | Loss: 177366.7031 | Grad Norm: 54658.26
Step 26 | Loss: 161375.8438 | Grad Norm: 46693.87
Step 27 | Loss: 99199.8359 | Grad Norm: 37752.52
Step 28 | Loss: 110433.6094 | Grad Norm: 52280.49
Step 29 | Loss: 123135.9922 | Grad Norm: 34904.76
Step 30 | Loss: 125147.6562 | Grad Norm: 40748.94
Step 31 | Loss: 119444.4844 | Grad Norm: 39228.27
Step 32 | Loss: 127908.1953 | Grad Norm: 40763.41
Step 33 | Loss: 108066.6484 | Grad Norm: 32963.08
Step 34 | Loss: 213957.0469 | Grad Norm: 49631.86
Step 35 | Loss: 97993.4219 | Grad Norm: 33778.50
Step 36 | Loss: 119788.5312 | Grad Norm: 36071.17
Step 37 | Loss: 106954.9531 | Grad Norm: 31249.87
Step 38 | Loss: 97552.7109 | Grad Norm: 31782.24
Step 39 | Loss: 216259.4844 | Grad Norm: 44980.00
Step 40 | Loss: 143895.2500 | Grad Norm: 37682.91
Step 41 | Loss: 93066.3906 | Grad Norm: 27312.24
Step 42 | Loss: 143851.5469 | Grad Norm: 33873.46
Step 43 | Loss: 192137.3125 | Grad Norm: 37689.57
Step 44 | Loss: 128917.9531 | Grad Norm: 29702.40
Step 45 | Loss: 76605.5078 | Grad Norm: 19730.61
Step 46 | Loss: 113512.5000 | Grad Norm: 30176.14
Step 47 | Loss: 169200.2656 | Grad Norm: 36258.46
Step 48 | Loss: 115468.0625 | Grad Norm: 25198.06
Step 49 | Loss: 145067.2656 | Grad Norm: 28516.20
