Step 0 | Grad Norm (pre-clip): 352451.69 | Grad Norm (post-clip): 1.0
Step 1 | Grad Norm (pre-clip): 506800.94 | Grad Norm (post-clip): 1.0
Step 2 | Grad Norm (pre-clip): 626594.62 | Grad Norm (post-clip): 1.0
Step 3 | Grad Norm (pre-clip): 602595.44 | Grad Norm (post-clip): 1.0
Step 4 | Grad Norm (pre-clip): 413882.34 | Grad Norm (post-clip): 1.0
Step 5 | Grad Norm (pre-clip): 388065.41 | Grad Norm (post-clip): 1.0
Step 6 | Grad Norm (pre-clip): 262420.19 | Grad Norm (post-clip): 1.0
Step 7 | Grad Norm (pre-clip): 199178.55 | Grad Norm (post-clip): 1.0
Step 8 | Grad Norm (pre-clip): 222831.11 | Grad Norm (post-clip): 1.0
Step 9 | Grad Norm (pre-clip): 134460.98 | Grad Norm (post-clip): 1.0
Step 10 | Grad Norm (pre-clip): 117764.84 | Grad Norm (post-clip): 1.0
Step 11 | Grad Norm (pre-clip): 119738.15 | Grad Norm (post-clip): 1.0
Step 12 | Grad Norm (pre-clip): 100711.77 | Grad Norm (post-clip): 1.0
Step 13 | Grad Norm (pre-clip): 106189.57 | Grad Norm (post-clip): 1.0
Step 14 | Grad Norm (pre-clip): 71107.24 | Grad Norm (post-clip): 1.0
Step 15 | Grad Norm (pre-clip): 65716.73 | Grad Norm (post-clip): 1.0
Step 16 | Grad Norm (pre-clip): 52845.61 | Grad Norm (post-clip): 1.0
Step 17 | Grad Norm (pre-clip): 69672.45 | Grad Norm (post-clip): 1.0
Step 18 | Grad Norm (pre-clip): 46075.86 | Grad Norm (post-clip): 1.0
Step 19 | Grad Norm (pre-clip): 43613.60 | Grad Norm (post-clip): 1.0
Step 20 | Grad Norm (pre-clip): 59872.15 | Grad Norm (post-clip): 1.0
Step 21 | Grad Norm (pre-clip): 45899.02 | Grad Norm (post-clip): 1.0
Step 22 | Grad Norm (pre-clip): 49666.34 | Grad Norm (post-clip): 1.0
Step 23 | Grad Norm (pre-clip): 37696.37 | Grad Norm (post-clip): 1.0
Step 24 | Grad Norm (pre-clip): 30159.33 | Grad Norm (post-clip): 1.0
Step 25 | Grad Norm (pre-clip): 30651.08 | Grad Norm (post-clip): 1.0
Step 26 | Grad Norm (pre-clip): 54292.89 | Grad Norm (post-clip): 1.0
Step 27 | Grad Norm (pre-clip): 34668.96 | Grad Norm (post-clip): 1.0
Step 28 | Grad Norm (pre-clip): 44817.20 | Grad Norm (post-clip): 1.0
Step 29 | Grad Norm (pre-clip): 30621.62 | Grad Norm (post-clip): 1.0
Step 30 | Grad Norm (pre-clip): 27077.17 | Grad Norm (post-clip): 1.0
Step 31 | Grad Norm (pre-clip): 29566.33 | Grad Norm (post-clip): 1.0
Step 32 | Grad Norm (pre-clip): 26582.97 | Grad Norm (post-clip): 1.0
Step 33 | Grad Norm (pre-clip): 79851.48 | Grad Norm (post-clip): 1.0
Step 34 | Grad Norm (pre-clip): 27110.85 | Grad Norm (post-clip): 1.0
Step 35 | Grad Norm (pre-clip): 33587.80 | Grad Norm (post-clip): 1.0
Step 36 | Grad Norm (pre-clip): 48041.04 | Grad Norm (post-clip): 1.0
Step 37 | Grad Norm (pre-clip): 20807.75 | Grad Norm (post-clip): 1.0
Step 38 | Grad Norm (pre-clip): 30806.73 | Grad Norm (post-clip): 1.0
Step 39 | Grad Norm (pre-clip): 20811.79 | Grad Norm (post-clip): 1.0
Step 40 | Grad Norm (pre-clip): 21646.47 | Grad Norm (post-clip): 1.0
Step 41 | Grad Norm (pre-clip): 34521.17 | Grad Norm (post-clip): 1.0
Step 42 | Grad Norm (pre-clip): 26066.63 | Grad Norm (post-clip): 1.0
Step 43 | Grad Norm (pre-clip): 22165.75 | Grad Norm (post-clip): 1.0
Step 44 | Grad Norm (pre-clip): 22170.43 | Grad Norm (post-clip): 1.0
Step 45 | Grad Norm (pre-clip): 19163.49 | Grad Norm (post-clip): 1.0
Step 46 | Grad Norm (pre-clip): 21686.13 | Grad Norm (post-clip): 1.0
Step 47 | Grad Norm (pre-clip): 30377.44 | Grad Norm (post-clip): 1.0
Step 48 | Grad Norm (pre-clip): 30049.11 | Grad Norm (post-clip): 1.0
Step 49 | Grad Norm (pre-clip): 21530.43 | Grad Norm (post-clip): 1.0
