Step 0 | Loss: 199.5000 | Grad Norm: 0.00
Step 1 | Loss: 79.6250 | Grad Norm: 0.00
Step 2 | Loss: 100.3125 | Grad Norm: 0.00
Step 3 | Loss: 84.8125 | Grad Norm: 0.00
Step 4 | Loss: 96.5000 | Grad Norm: 0.00
Step 5 | Loss: 73.5000 | Grad Norm: 0.00
Step 6 | Loss: 73.1875 | Grad Norm: 0.00
Step 7 | Loss: 35.1562 | Grad Norm: 0.00
Step 8 | Loss: 37.0938 | Grad Norm: 0.00
Step 9 | Loss: 19.7188 | Grad Norm: 0.00
Step 10 | Loss: 19.4688 | Grad Norm: 0.00
Step 11 | Loss: 20.0000 | Grad Norm: 0.00
Step 12 | Loss: 29.1875 | Grad Norm: 0.00
Step 13 | Loss: 18.9219 | Grad Norm: 0.00
Step 14 | Loss: 21.3906 | Grad Norm: 0.00
Step 15 | Loss: 15.8828 | Grad Norm: 0.00
Step 16 | Loss: 15.3125 | Grad Norm: 0.00
Step 17 | Loss: 14.5391 | Grad Norm: 0.00
Step 18 | Loss: 18.1875 | Grad Norm: 0.00
Step 19 | Loss: 12.3984 | Grad Norm: 0.00
Step 20 | Loss: 19.9062 | Grad Norm: 0.00
Step 21 | Loss: 17.9375 | Grad Norm: 0.00
Step 22 | Loss: 19.6250 | Grad Norm: 0.00
Step 23 | Loss: 13.8750 | Grad Norm: 0.00
Step 24 | Loss: 20.1719 | Grad Norm: 0.00
Step 25 | Loss: 15.5312 | Grad Norm: 0.00
Step 26 | Loss: 21.4062 | Grad Norm: 0.00
Step 27 | Loss: 11.7891 | Grad Norm: 0.00
Step 28 | Loss: 10.7812 | Grad Norm: 0.00
Step 29 | Loss: 16.5625 | Grad Norm: 0.00
Step 30 | Loss: 11.2109 | Grad Norm: 0.00
Step 31 | Loss: 13.5938 | Grad Norm: 0.00
Step 32 | Loss: 11.8594 | Grad Norm: 0.00
Step 33 | Loss: 27.2969 | Grad Norm: 0.00
Step 34 | Loss: 10.5703 | Grad Norm: 0.00
Step 35 | Loss: 14.5000 | Grad Norm: 0.00
Step 36 | Loss: 13.4531 | Grad Norm: 0.00
Step 37 | Loss: 13.3828 | Grad Norm: 0.00
Step 38 | Loss: 16.5312 | Grad Norm: 0.00
Step 39 | Loss: 18.0781 | Grad Norm: 0.00
Step 40 | Loss: 14.0859 | Grad Norm: 0.00
Step 41 | Loss: 10.2969 | Grad Norm: 0.00
Step 42 | Loss: 10.9375 | Grad Norm: 0.00
Step 43 | Loss: 15.9219 | Grad Norm: 0.00
Step 44 | Loss: 14.2500 | Grad Norm: 0.00
Step 45 | Loss: 12.3516 | Grad Norm: 0.00
Step 46 | Loss: 18.3906 | Grad Norm: 0.00
Step 47 | Loss: 15.3672 | Grad Norm: 0.00
Step 48 | Loss: 12.8516 | Grad Norm: 0.00
Step 49 | Loss: 9.2734 | Grad Norm: 0.00
